Town,Latitude,Longitude
Mandawala,7.001282,80.093559
Wadduwa,6.637447,79.952591
Mahasenpura,6.29724,81.307617
Hikkaduwa,6.139468,80.106285
Wellawatta,6.874092,79.860497
Kuruwita,6.82184,80.361511
Galewela,7.759712,80.571159
Peliyagoda,6.960784,79.922676
Nilaveli,8.692733,81.18853
Tangalle,6.028849,80.785576
Koggala,5.991491,80.325531
Gampola,7.131043,80.565659
Tissamaharama,6.277484,81.286362
Angoda,6.936741,79.927032
Gurudeniya,7.267903,80.692329
Mirissa,5.948262,80.471588
Monaragala,6.890645,81.345444
Kandana,7.045868,79.887901
Weligama,5.974373,80.43161
Gampaha,7.08731,80.014366
Athurugiriya,6.872319,80.000389
Pallekele,7.280104,80.702034
Henawala,7.261897,80.531342
Warakapola,7.227612,80.198303
Rajagiriya,6.907579,79.899033
Kumpurupiddi,8.736301,81.164459
